SKU,RRP
XE106R04347,80.18
XE106R04346,55.1
XE106R04081,276
XE106R04080,361.48
XE106R04079,361.48
XE106R04078,361.48
XE106R04053,248.71
XE106R04052,298.16
XE106R04051,298.16
XE106R04050,298.16
XE106R03944,451.08
XE106R03940,236.85
XE106R03935,166.01
XE106R03934,268.83
XE106R03933,268.83
XE106R03932,268.83
XE106R03923,206.71
XE106R03922,406.99
XE106R03921,406.99
XE106R03920,406.99
XE106R03899,166.45
XE106R03898,229.46
XE106R03897,229.46
XE106R03896,229.46
XE106R03876,184.21
XE106R03875,274.19
XE106R03874,274.19
XE106R03873,274.19
XE106R03862,166.45
XE106R03861,153.05
XE106R03860,153.05
XE106R03859,153.05
XE106R03764,204.83
XE106R03763,204.83
XE106R03762,204.83
XE106R03761,166.46
XE106R03760,387.24
XE106R03759,387.24
XE106R03758,387.24
XE106R03757,239.96
XE106R03744,203.95
XE106R03743,203.95
XE106R03742,203.95
XE106R03741,147.56
XE106R03740,308.32
XE106R03739,308.32
XE106R03738,308.32
XE106R03737,195.48
XE106R03692,191.39
XE106R03691,191.39
XE106R03690,191.39
XE106R03624,322.28
XE106R03622,259.56
XE106R03620,136.6
XE106R03584,427.38
XE106R03582,302.88
XE106R03580,185.82
XE106R03531,298.82
XE106R03530,298.82
XE106R03529,298.82
XE106R03528,204.57
XE106R03519,221.72
XE106R03518,221.72
XE106R03517,221.72
XE106R03516,154.24
XE106R03503,153.16
XE106R03502,153.16
XE106R03501,153.16
XE106R03500,122.11
XE106R03480,149.46
XE106R03479,163.42
XE106R03478,163.42
XE106R03477,163.42
XE106R03476,122.89
XE106R03475,101.79
XE106R03474,101.79
XE106R03473,101.79
XE106R02777,112.99
XE106R02759,106.96
XE106R02758,169.64
XE106R02757,76.65
XE106R02756,76.65
XE106R02720,218.92
XE106R02605,235.45
XE106R02603,378.36
XE106R02602,378.36
XE106R02601,250.88
XE106R02600,250.88
XE106R02313,324.98
XE106R02311,185.6
XE106R02307,326.21
XE106R02305,212.74
XE106R02248,79.6
XE106R02247,97.31
XE106R02246,97.31
XE106R02245,97.31
XE106R02232,160.76
XE106R02231,224.5
XE106R02230,224.5
XE106R02229,224.5
XE106R01627,86.39
XE106R01597,148.02
XE106R01596,152.81
XE106R01595,152.95
XE106R01594,152.95
XE106R01593,152.81
XE106R01592,76.06
XE106R01591,90.71
XE106R01569,450.04
XE106R01568,552.16
XE106R01567,552.16
XE106R01566,552.16
XE106R01565,262.51
XE106R01564,262.51
XE106R01563,262.51
XE106R01533,289.03
XE106R01439,438.76
XE106R01436,643.24
XE106R01435,443.88
XE106R01434,443.88
XE106R01433,448.74
XE006R04400,82.33
XE006R04399,48.05
XE006R04394,112.73
XE006R04393,112.73
XE006R04392,112.73
XE006R04391,101.95
XE006R04386,80.39
XE006R04385,80.39
XE006R04384,80.39
XE006R04383,69.61
XE006R04378,353.88
XE006R04377,188.22
XE006R04376,92.15
XE006R04367,192.12
XE006R04366,192.12
XE006R04365,192.12
XE006R04364,164.68
XE006R04359,94.11
XE006R04358,94.11
XE006R04357,94.11
XE006R04356,95.09
XE006R01516,150.54
XE006R01515,150.77
XE006R01514,155.06
XE006R01513,140
SHMXC30GTY,73.7
SHMXC30GTM,66.6
SHMXC30GTC,73.56
SHMXC30GTB,23.74
SHMX61GTYA,147.38
SHMX61GTMA,147.38
SHMX61GTCA,147.38
SHMX61GTBA,82.15
SHMX51GTYA,98.25
SHMX51GTMA,97.57
SHMX51GTCA,100.84
SHMX51GTBA,61.77
SHMX36GTYA,81.2
SHMX36GTMA,81.87
SHMX36GTCA,81.87
SHMX36GTBA,51.86
SHMX27GTMA,72.3
SHMX23GTYA,55.19
SHMX23GTMA,55.19
SHMX23GTCA,55.19
SHMX23GTBA,40.64
SHMX-31GTYA,83.24
SHMX-31GTMA,83.24
SHMX-31GTCA,83.24
SHMX-31GTBA,41.38
RI888261,20.65
RI885266,25.37
RI885094,25.07
RI884946,51.28
RI842098,66.81
RI842097,66.81
RI842096,66.81
RI842095,44.27
RI841618,44.62
RI841597,52.09
RI841596,52.09
RI841595,51.28
RI407719,144.41
RI407718,144.41
RI407717,144.41
RI407716,107.3
RI407546,80.12
RI407545,80.12
RI407544,80.12
RI407543,58.84
RI407533,106.01
RI407532,101.22
RI407531,90.5
RI407340,84.94
RI407255,60.84
RI407254,93.13
RI407249,89.75
RI407246,119.34
RI407166,58.03
RI406990,122.82
RI406837,79.63
RI406523,75.21
RI406522,103.49
RI406482,128.56
RI406481,128.56
RI406480,128.56
RI406479,104.89
RI406351,83.68
RI406350,83.68
RI406349,83.68
RI406348,71.86
RI406055,83.01
RI406054,80.15
RI406053,83.68
RI406052,75.29
OK9006130,68.31
OK9006129,81.96
OK9006128,81.96
OK9006127,81.96
OK47095704,68.85
OK47095703,156.52
OK47095702,156.52
OK47095701,156.52
OK46861308,73.74
OK46861307,218.79
OK46861306,218.79
OK46861305,218.79
OK46508716,56.41
OK46508715,86.34
OK46508714,86.34
OK46508713,86.34
OK46508712,70.04
OK46508711,141.72
OK46508710,141.72
OK46508709,141.72
OK46507616,60.03
OK46507615,212.41
OK46507614,212.41
OK46507613,212.41
OK46507508,82.63
OK46507507,197.57
OK46507506,197.57
OK46507505,197.57
OK46490608,116.33
OK46490607,222.81
OK46490606,222.81
OK46490605,222.81
OK46490404,30.94
OK46490403,70.85
OK46490402,70.85
OK46490401,70.85
OK46471116,87.01
OK46471115,198.39
OK46471114,198.39
OK46471113,198.39
OK46471104,110.75
OK46471103,252.48
OK46471102,252.48
OK46471101,252.48
OK46443104,84.84
OK46443103,251.73
OK46443102,251.73
OK46443101,251.73
OK45862840,62.1
OK45862839,143.75
OK45862838,143.75
OK45862837,143.75
OK45862818,117.1
OK45862816,165.44
OK45862815,165.44
OK45862814,165.44
OK45807111,182.03
OK45807106,130.84
OK45807102,90.51
OK45536505,400.02
OK45536416,156.52
OK45536415,313.08
OK45536414,313.08
OK45536413,313.08
OK45488802,278.26
OK45439002,323.92
OK45396304,81.12
OK45396303,161.74
OK44992402,86.31
OK44992401,70.59
OK44973536,89.22
OK44973535,93.1
OK44973534,93.1
OK44973533,93.1
OK44973508,120.12
OK44917602,197.61
OK44844616,110.75
OK44844615,263.28
OK44844614,263.28
OK44844613,263.28
OK44844508,116.2
OK44844507,251.73
OK44844506,251.73
OK44844505,251.73
OK44661802,341.32
OK44574802,142.06
OK44574702,93.93
OK44469804,88.77
OK44469803,72.2
OK44469724,191.41
OK44469723,191.41
OK44469722,191.41
OK44469706,97.4
OK44469705,97.4
OK44469704,97.4
OK44318608,130.47
OK44318607,230.83
OK44318606,230.83
OK44318605,230.83
OK44315308,116.68
OK44315307,206.67
OK44315306,206.67
OK44315305,206.67
OK44059256,81.44
OK44059255,195.89
OK44059254,195.89
OK44059253,195.89
OK44059168,70.78
OK44059167,163.87
OK44059166,163.87
OK44059165,163.87
OK43872307,109.28
OK43872306,109.28
OK43872305,109.28
OK43865708,149.04
OK43837132,178.4
OK43837131,446.07
OK43837130,446.07
OK43837129,446.07
LEC746A1CG,294.21
LEC332HY0,122.96
LEC332HM0,122.96
LEC332HK0,116.48
LEC332HC0,122.96
LEC3220Y0,100.02
LEC3220M0,100.02
LEC3220K0,78.55
LEC3220C0,100.02
LEC252UK0,134.06
LEC242XY0,131.32
LEC242XM0,131.32
LEC242XK0,134.06
LEC242XC0,131.32
LEC232HY0,110.92
LEC232HM0,110.92
LEC232HK0,110.92
LEC232HC0,110.92
LEC2320Y0,65.59
LEC2320M0,65.59
LEC2320K0,71.55
LEC2320C0,65.59
LEB342H00,93.7
LEB342000,59.12
LEB282X00,344.89
LEB282H00,206.99
LEB282000,176.62
LEB262U00,217.31
LEB252X00,205.72
LEB242H00,146.82
LEB232000,95.38
LEB222X00,162.16
LEB222H00,81.07
LEB222000,44.84
LE80C20Y0,76.02
LE80C20M0,76.02
LE80C20K0,57.81
LE80C20C0,76.02
LE75B20Y0,274.12
LE75B20M0,274.12
LE75B20K0,205.31
LE75B20C0,271
LE74C20Y0,136.29
LE74C20M0,136.29
LE74C20K0,103.31
LE74C20C0,136.29
LE71B2XK0,133.64
LE71B2HY0,146.99
LE71B2HM0,146.99
LE71B2HK0,166.63
LE71B2HC0,146.99
LE71B20Y0,109.91
LE71B20M0,109.91
LE71B20K0,104.89
LE71B20C0,109.91
LE70C20Y0,75.14
LE70C20M0,76.02
LE70C20K0,57.81
LE70C20C0,76.02
LE60F2H00,265.54
LE60F2000,106.47
LE58D2H00,280.81
LE56F2X00,414.9
LE53B2H00,396.2
LE53B2000,191.46
LE52D2H00,507.75
LE52D2000,171.65
LE51F2H00,148.5
LE51B2X00,336
LE51B2H00,196.41
LE51B2000,80.29
LE50F2X00,265.54
LE50F2H00,176.97
LE50F2000,76.97
LE0T650H11E,588.22
LE0T650A11E,212.31
LE0E260A11E,143.39
LE0064016HE,516.56
KYTK895Y,75.11
KYTK895M,75.11
KYTK895K,80.5
KYTK895C,75.11
KYTK8115Y,71.54
KYTK8115M,71.54
KYTK8115K,78.26
KYTK8115C,71.54
KYTK7310,100.3
KYTK590Y,141.32
KYTK590M,141.32
KYTK590K,117.49
KYTK590C,141.32
KYTK580Y,103.85
KYTK580M,103.85
KYTK580K,62.26
KYTK580C,103.85
KYTK5290Y,194.56
KYTK5270Y,142.2
KYTK5270M,142.2
KYTK5270K,118.87
KYTK5270C,142.2
KYTK5240Y,98.35
KYTK5240M,98.35
KYTK5240K,66.14
KYTK5240C,98.35
KYTK5230Y,102.2
KYTK5230M,102.2
KYTK5230K,69.47
KYTK5230C,102.2
KYTK5220Y,69.82
KYTK5220M,73.63
KYTK5220K,54.52
KYTK5220C,70.11
KYTK5150K,163.44
KYTK5140Y,124.43
KYTK5140M,120.75
KYTK5140K,111.48
KYTK5140C,124.43
KYTK3400,100.9
KYTK3190,132.64
KYTK3170,104.51
KYTK3160,100.9
KYTK3130,139.27
KYTK3110,126.67
KYTK3100,100.9
KYTK170,130.52
KYTK160,78.74
KYTK1170,92.97
KYTK1160,109.51
KYTK1150,77.07
KYTK1125,61.1
KYTK1115,79.51
KMTNP48Y,33.18
KMTNP48M,47.12
KMTNP48K,26.38
KMTNP48C,33.18
KMTNP22Y,22.75
KMTNP22M,23.46
KMTNP22K,33.18
KMTNP22C,24.09
KMTN514K,48.65
KMTN512Y,106.19
KMTN512M,132.75
KMTN512C,106.19
KMTN328Y,109.33
KMTN328M,119.46
KMTN328K,73.01
KMTN328C,119.46
KMTN321Y,91.59
KMTN321M,91.59
KMTN321K,43.51
KMTN321C,96.46
KMTN217K,41.3
KMTN216Y,95.87
KMTN216M,82.63
KMTN216K,50.88
KMTN216C,98.36
HPW2413A,56.24
HPW2412A,56.24
HPW2411A,56.24
HPW2410A,52.14
HPW2213X,107.02
HPW2213A,78.68
HPW2212X,107.02
HPW2212A,78.68
HPW2211X,107.02
HPW2211A,78.68
HPW2210X,101.47
HPW2210A,66.7
HPW2123X,364.36
HPW2123A,220.82
HPW2122X,364.36
HPW2122A,220.82
HPW2121X,364.36
HPW2121A,220.82
HPW2120X,258.05
HPW2120A,176.25
HPW2073A,51.56
HPW2072A,51.56
HPW2071A,51.56
HPW2070A,46.62
HPW2033X,253.53
HPW2033A,118.66
HPW2032X,253.53
HPW2032A,118.66
HPW2031X,253.53
HPW2031A,118.66
HPW2030X,185.54
HPW2030A,91.71
HPW2013X,611.8
HPW2013A,396.68
HPW2012X,611.8
HPW2012A,396.68
HPW2011X,611.8
HPW2011A,396.68
HPW2010X,275.63
HPW2010A,175.84
HPW1470Y,437.91
HPW1470X,318.09
HPW1470A,198.06
HPW1420A,46.09
HPW1390X,118.59
HPW1390A,62.43
HPW1350X,74.86
HPW1350A,45.54
HPW1143AD,32.72
HPW1143A,18.19
HPW1106A,51.17
HPU0SL1AM,271.46
HPSASV208A,74.56
HPSASV096A,214.73
HPSASV058A,201.61
HPSASV003A,99.27
HPSASU963A,111.09
HPSASU951A,166.17
HPSASU907A,97.2
HPSASU897A,138.03
HPSASU885A,201.56
HPSASU840A,46.94
HPSASU828A,77.07
HPSASU810A,54.77
HPSASU799A,70.59
HPSASU759A,69.33
HPSASU758A,83.64
HPSASU737A,71.22
HPSASU706A,48.06
HPSASU696A,71.22
HPSASU559A,127.15
HPSASU515A,110.88
HPSASU512A,88.75
HPSASU502A,84.13
HPSASU491A,121.27
HPSASU462A,55.34
HPSASU444A,55.34
HPSASU400A,263.13
HPSASU375A,183.51
HPSASU365A,183.51
HPSASU364A,88.52
HPSASU348A,127.15
HPSASU305A,110.88
HPSASU302A,88.75
HPSASU292A,84.13
HPSASU281A,121.27
HPSASU252A,55.34
HPSASU234A,55.34
HPSASU216A,90.82
HPSASU171A,112.64
HPSASU168A,90.15
HPSASU158A,76.48
HPSASU147A,107.56
HPSASU128A,56.27
HPSASU118A,55.34
HPSASU100A,55.34
HPSASU082A,127.15
HPSASU038A,110.88
HPSASU035A,88.75
HPSASU025A,84.13
HPSASU014A,121.27
HPSAST984A,55.34
HPSAST966A,55.34
HPSASS816A,103.14
HPSASS742A,124.64
HPSASS735A,151.35
HPSASS728A,218.3
HPSASS721A,124.63
HPSASS649A,124.64
HPSASS642A,151.35
HPSASS635A,218.3
HPSASS628A,124.63
HPSASS607A,37.07
HPSASS600A,40.1
HPSASS593A,105
HPSASS586A,37.07
HPSASS567A,124.64
HPSASS560A,151.35
HPSASS553A,218.3
HPSASS546A,124.63
HPQ7553X,214.23
HPQ7553A,116.06
HPQ7516A,238.66
HPQ5953A,364.49
HPQ5952A,364.49
HPQ5951A,364.49
HPQ5950A,256.33
HPQ5949X,217.21
HPQ5949A,118.73
HPQ5942A,215
HPQ2612AD,165.24
HPQ2612A,91.81
HPCF543X,107.58
HPCF543A,80.7
HPCF542X,107.58
HPCF542A,80.7
HPCF541X,107.58
HPCF541A,80.7
HPCF540X,102.03
HPCF540A,68.47
HPCF533A,58.95
HPCF532A,58.95
HPCF531A,58.95
HPCF530A,53.82
HPCF463X,519.36
HPCF462X,519.36
HPCF461X,519.36
HPCF460X,368.06
HPCF453A,293.61
HPCF452A,293.61
HPCF451A,293.61
HPCF450A,236.38
HPCF440AM,389.54
HPCF413X,224.52
HPCF413A,129.85
HPCF412X,224.52
HPCF412A,129.85
HPCF411X,224.52
HPCF411A,129.85
HPCF410XD,301.9
